Workout Date,Tag,Workout Header,Workout Full Details,Comments
"Tuesday, September 3rd, 2024",Completed,engine building,"A engine building:
2 sets of 
85%-90 range
5 min amrap 
8 cal ski
8 cal bike erg
rest 2 mins walking 
5 min
16 cal row
16 cal bike erg
rest 3 mins walking 
5 min amrap
24 cal row 
24 cal bike erg
rest 4 mins walking 

if no erg bike and using assault 
do half the cals
Results: 4+10
5rounds

2+18
3rounds

2+3
2+4

","Todd Roselle: 6:45a in garage
Jud Dean: build the engine base my man!"
"Monday, September 2nd, 2024",Completed,cardio core carry,"A 35 mins of movment:
farmer carry 120 FT 
20 lay back abs
250 METER ROW 
2 WALL WALKS 
10 CAL BIKE
60 FT BEAR CRAWL
repeat this pattern for 35 mins
Results: 7 rounds plus farmer Carey and row

1:56.9
1:55.8
1:55.0
1:55.2
1:52.0
1:52.8
1:55.0
1:53.4

55lb db on farmer carry

B for time burner:
5 rds for time of 
6 bar facing burpee
8 db thrusters
quick hitter!!!
Results: 4:47
Massive lactic acid in quads

50lb dbs ub

Ouch

","Todd Roselle: 15 min of sauna. 
Need to clean the cold plunge…long story. 
6:45a in garage
Jud Dean: I thought this would be a great one for you! Let you get the heart woek longevity work but then get the burner sub 5 pain work there buddy nice job!!
Todd Roselle: Great mix to start the week
Jud Dean: Yes sir!!!!"
"Sunday, September 1st, 2024",Completed,Rest day,,
"Saturday, August 31st, 2024",Completed,SINGLE ARM WORK PULLING POSTURE,"A 5 SETS OF:
5 DB SINGLE ARM HALF KNEELING ARNOLD PER ARM WORKING TEMPO
3-1-1-1 (SEE BELOW ON TEMPO)
REST 30-45 SECONDS 
4-6 STRICT PULL UPS AT TEMPO 3-1-1-1
SO 3 DOWN
1 HOLD AT BOTTOM
1 UP
1 HOLD AT TOP
2 MINS
Results: 40lb db
5 pull ups ea time

B EMOM X 5 MINS:
1 DEADLIFT
1 PWR CLEAN
1 HANG PWR CLEAN
1 JERK 
ALL TNG
Results: 155 lbs

C FOR TIME:
3-6-9-6-3
PULL UPS KIPPING HERE FOR TIME 
AND EVERY DASH IS A 
8 DB BURPEES 40LBS PER HAND
Results: 3:40

D Prone Y T W:
HOLD EACH LETTER FOR 20 SECONDS
REST 60 SECONDS
X 3
Results: ✅

E Half kneeling single Arnold press with single arm band retraction:
VIDEO FOR PART A
Results: 

","Todd Roselle: Garage 6:45a
Jud Dean: Solid work hopeful that tempo helps the pull ups too and gets better connection for ya!!"
"Friday, August 30th, 2024",Completed,3 PART AEROBIC TESTING,"A 10 MIN MAX CALS BIKE TEST:
CHECK YOUR BODY WT ON THIS DAY TOO
Results: 143 cals
64 avg rpm
3.98 mi

Weight is 176 this morning

B REST 10-15 MINS:

Results: ✅

C 2000 METER ROW FOR TIME:

Results: 7:32.0
1:53.0

Done in garage at 66

First 400: 1:53.6
2nd: 1:53.0
3rd: 1:52.8
4th: 1:53.0
5th: 1:52.5

damper between 7/8

D REST 10-15 MINS:

Results: 

E 3000 METER RUN:

Results: I’ve been having groin pain again (hernia area) I didn’t want to do all three and now know what is aggravating it. I will do this one, preferably on another day

","Todd Roselle: All things considered I believe my fitness is way down. These numbers say it’s down, but not as far as I thought it was. Not bad. 

Would like to improve these. I feel like that 2k is the best barometer to tell me how fit i am at any time. Def lower than I want.
Todd Roselle: Done at 66 in garage at 6:45a
Jud Dean: Looking at the adherence numbers and the travel you definitely have room to lock in more and improve it. As it always comes down to priorities and how bad we want to see numbers improve. 

You have said you are not taking the supplement support suggested and I don’t know about how much you have been following the old meal plan we had suggested. If you have not been doing those maybe a place to start as well 

But simply from the workout lens 
Adherence per your true coach is 

Last 30 days 61%
Last 90 days 72%

So looking at those alone I can say the few people we still do program work for the improvement normally doesn’t happen when this is below 95%
And for best results diet lifestyle have to be locked in as well

Have an awesome holiday weekend
Todd Roselle: Unfortunately, I have more travel coming. I do plan to lock in more. Some of the problem with the adherence has been the pain i've had of late in the groin. I just haven't been able to do certain things and I've done my best to work around them. I scheduled an appointment w the cleveland clinic (supposed experts on nerve entrapment via inguinal hernias). Hopefully relief is on the way.

Body composition looks pretty good. Food has been good, nearly no alcohol (maybe a drink or 2 a month). And I do want to ramp things back up. Always appreciate the communication and honesty. I do want to dial in here moving forward with the hope of becoming more fit. 

I've noticed an unexplained drop in HRV which i mentioned to you before and I've been digging for answers. I've seen a cardiologist, I have another scan coming up and nothing is showing as a problem. (I think) That narrows it down to the nerve entrapment, stress, and mentally being not all in for the fear of the loss of fitness being a bigger problem).

Looking forward to our chat. have a great weekend.
Jud Dean: You bet pal!"
"Thursday, August 29th, 2024",Completed,AMRAP Day!,"A 8 min AMRAP (as many rounds/reps as possible):
10 cal bike 
10 Ball Slams
Results: 6 rounds

35lb ball

B 4 minute steady state cardio:
steady state
Results: 

C 8 min AMRAP:
200 Meter Row
6-8 hang pwr cleans
Results: 4+203

135 hpc for 6 ea time

D 4 minute steady state cardio:
steady state
Results: 

E 16 min AMRAP:
20 yard sled push down and back
20 alt db curls
lunge 20 yards down and back
Results: I did 20 down 20 back
Level 3 on sled
25lb db curls
Same for lunge 20/20

","Todd Roselle: 630a garage
Jud Dean: Having the sled at home is so cool!!! Love it pal!!

Keep you strong and powerful on the legs buddy"
"Wednesday, August 28th, 2024",Completed,Rest day,,
"Tuesday, August 27th, 2024",Completed,Workout,"A 10 sets of:
5 back squats 
10 db press in ghd core engaged 
15 cal bike 
build load over the 10 sets of squats 
50% for 3 sets 
60% for 3 sets 
70-% for 4 sets 
as guides
Results: Back squats: 185/225/255 (worked off 365 1 rm)
10lb on chest press - so hard to stay flat w more (maybe my butt isn’t in the right spot)
Bike - 15 cals in the following times:
1:08
1:04
1:04
1:01
1:00
:57
:57
:59
1:00
:51
Tots time approx 33min

B be sure to end this workout with:
3 sets of 
reverse hypers 15-20 reps
sit ups 15-20 reps
and pigeon pose 1 min per side video below
Results: Stretched in the ghd and did pigeon

C Elevated Pigeon:

Results: 

","Todd Roselle: In garage 630a
Jud Dean: Solid work 

The press is more core work than anything"
"Monday, August 26th, 2024",Completed,lifting mixed modal zone 2 work finish with anerobic work,"A 42 min emom:
min 1 8 seated db curls + 8 db side lateral raises 
min 2 5 step ups per leg + 5 burpee 
min 3 8 landmine press per arm 
min 4 gorilla row 20 reps 10 per side 
min 5 45 sec cardio choice hard effort
mine 6 45 sec cardio choice easy effort
Results: 30lb db for curls
20lb db for flys

Landmine w 25lb plate

Gorilla w 55lb dbs

Bike hard/eaay

Last 3 rounds I added a 12 lb vest

B Gorilla row:

Results: 

C high effort bike work to finish:
20 sec rolling start
20 sec full send!!!
2:20 walking rest! 
x 5 sets!!!
Results: All over 78 rpm for the hard the whole time. Some were over 82

","Todd Roselle: Garage at 6:30a
Jud Dean: Good lift with engine work buddy! 

Great weather today hope you can hit a pm hike too!!"
"Sunday, August 25th, 2024",Completed,Rest day,,
"Saturday, August 24th, 2024",Completed,stretngh focus,"A Prone Incline Reverse Superman:
3 SETS OF 30 KEEP THESE LIGHT
REST 1 MIN
Results: 10lb db

B BAND PRESS DOWN 100:

Results: Red

C BAND FACE PULL 100:

Results: Red

D bar squat:
30 rep done in 10 rep series
10 reps done at 3 sec negative
60 sec rest 
10 reps done at 3 sec hold at bottom
60 sec rest 
10 reps normal tempo
rest 3 mins
x 2 sets
Results: Round 1 185
Round 2 205

E1 Single Arm Leg ISO hold chest press:
12-15 reps 
rest 1 min
x 3 set
Results: 30lb db

","Todd Roselle: Garage workout - 8a
Jud Dean: Great strength day!!!"
"Friday, August 23rd, 2024",Missed,Workout,"A Bike day!:
20,000 meter bike concept 2 day 

5 min damper 1 try to get rpm 90-105 range 
5 min damper 5 try to get rpm 70-80 range 
10 min damer 10 no rpm goal but done 30 sec standing 30 sec seated 
follow this pattern until you hit 20K meters for the workout
Results: 

B Side plank agitation:
5 sets of 
30 reps per side
rest as needed on these
Results: 

C Side Plank Crunch:
3 sets of 15 reps per side 
rest as needed on these
Results: 

",No comments
"Thursday, August 22nd, 2024",Completed,Workout,"A1 Swiss Ball Dumbbell Fly:
20 reps
Results: Warm up complete

25lb dbs

B1 Decline Dumbbell Bench Press:
15 reps
Results: 55 lb db

C Incline cable/band fly:
you can also use the cable machine! 
10 reps per arm
superset with
10 push ups
x 5 sets
rest 1 min
Results: Red band .

D ISSA Exercise Library MACHINE CHEST PRESS mp4:
3 sets of triple drop
5 reps decrease wt
5 reps decrease wt
5 reps
rest 1-2 mins
x 3 sets
Results: No machine in garage

E1 Dumbbell Supinated Skull Crusher:
15-20 reps
Results: 20lb dbs

","Todd Roselle, Time: 22 days ago, Comment: Completed in garage 6:20a
Jud Dean, Time: 21 days ago, Comment: Nice lift day buddy!!"
"Wednesday, August 21st, 2024",Completed,Rest day,,
"Tuesday, August 20th, 2024",Missed,mobility day and then rest tomorrow,"A Scorpion Stretch:
1 min per side
Results: 

B Couch Stretch:
2 min per side
Results: 

C Elevated Pigeon:
90 sec per side
Results: 

D Banded Lat Stretch:
90 sec per side
Results: 

E Bent Knee Calf Stretch:
30 sec per side
Results: 

F Straight Leg Calf Stretch:
30 sec per side
Results: 

G roll out 5 mins:
move back to the top 
x 2 sets
Results: 

",No comments
"Monday, August 19th, 2024",Completed,Workout,"A1 Air Squat:
20 reps
Results: ✅

B1 Reverse Lunge:
20 reps 
10 per side
Results: ✅

","Todd Roselle, Time: 24 days ago, Comment: Garage at 6:20a
Jud Dean, Time: 23 days ago, Comment: This weather is amazing perfect day for this"
"Sunday, August 18th, 2024",Completed,Rest day,,
"Saturday, August 17th, 2024",Completed,engine focus,"A engine focus!:
5 min bike
4 min row
3 min ski
2 min step ups
1 min jump rope doubles
run 400 meters
walk back
x 45 mins! 
end with 20 min sauna!
Results: Completed on Monday 8/19 in garage at 6:45a

I finally did this one right

5 min - 1.89 mi - 60 rpm - 60 cal
4 min - 1:55.5 - 1040 meters
3 min - 42 cals - 696 meters
2 min - 42 step up
1 min - 35/35/23 du
Run - 1:51
5 min - 1.81 - 58 rpm - 53 cal
4 min - 1:58.7 - 1014 meters
3 min - 41 cals - 682 meters
2 min - 43 step up
1 min - 50/50
Run - 100 meters then time

","Jud Dean, Time: 24 days ago, Comment: Solid work here pal a nice one to flush build the engine but not get overuse issues"
"Friday, August 16th, 2024",Completed,Workout,"A for time:
5rds of cindy
5 pull ups
10 push ups
15 air squats 
rest 1 min
move into
4 rds of 
8 thrusters 95 lbs 
8 bar facing burpee
rest 1 min
move into
3 rds of 
50 double unders
10 power snatch 95 lbs
rest 1 min
move into
2 rds of 
20 push ups
40 walking lunges
rest 1 min
1 rd of 
50 cal bike 
DONE!
Results: Done on Sunday

Garage at 2:15p

3:08
4:08
8:37 (rough) ub
9:37 
16:28 (tough) 30/20 and 6/4 then 4/3/3
17:28
21:58
22:58

26:58 Total time

","Todd Roselle, Time: 25 days ago, Comment: Strength stamina is non existent
Jud Dean, Time: 25 days ago, Comment: This is a great tester keeps ya in it for a good 20-30 buddy! Well done a great one to repeat and see improvement coming out of summer and some set backs for ya awesome to see you feeling good and getting them in!!

Catching up on some work from the sauna and getting ready to take on the week

Hope your week goes great pal!"
"Thursday, August 15th, 2024",Completed,Workout,"A Cleans on the min:
3 reps 
don on the min x 16 mins
each 3 min series try to go up some!
with min 4 min 8 and min 12 being a rest minute to adjust the wt up!
Results: 135
185
205
225 - 1 st round ub, 2nd round was 2/1, 3 and 4 were singles.

B Rack Pull:
5 sets of 5 reps
rest 2 mins
working 70-80% range
Results: 225

C 10-20-10-20:
10 box jump step down
20 alt db snatch
10 cal bike
20 sit ups 
rest 2 mins
x 5 sets
Results: 2:59
2:49
2:55
2:45
2:44

55lb db for alt snatch

","Todd Roselle: Went back and did this or this weekend. (Weekend of 8/24-8/25)
Jud Dean: Solid lift and burner pal!! Good explosive strength raw strength and cardio awesome rounds"
"Wednesday, August 14th, 2024",Completed,Workout,"A 10 sets steady work:
10 wallball shots or db thrusters 
6 10 month press
1 rope climb 
rest 1 min walking
Results: Done at rise w rope climbs 
35 lb dbs 10 mo press

55
55
51
51
52
53
55
51
50
55

B 10 Month Position Dumbbell Press:

Results: 

","Todd Roselle: Rise at 5:15p
Jud Dean: Solid pal nice way to end the day!!!!!"
"Tuesday, August 13th, 2024",Completed,Rest day,,
"Monday, August 12th, 2024",Missed,Workout,"A TIMED RUNING!:
400 METER RUNS
INCREASE EFFORT EACH SET TO YOUR GOAL 1 MILE PACE
3 SETS
REST 2 MINS BETWEEN SETS
Results: 

B Run 1 MILE TIMED:
REST 8 MINS WALKING
Results: 

C 200 METER RUNS:
DONE AT 1 MILE GOAL TIME
REST 1 MIN BETWEEN SETS
X 3 SETS
Results: 

",No comments
"Sunday, August 11th, 2024",Missed,Workout,"A interval sets:
6 sets of 
3 min shuttle run 
10 broad jumps 
20 four count flutter kicks
20 push ups 
20 jump switch lunges or box jump step down
20 push ups 
rest 3 mins walking
Results: 

",No comments
"Saturday, August 10th, 2024",Completed,3 part body wt day!,"A Step Up + Burpee:
50-40-30-20-10
Alternating Step-Up
10 x Burpee

*completing 1 x left and 1 x right lunge = 1 rep
Results: Completed w no clock. Substituted step up with alternating lunge.

","Todd Roselle: Done on Sunday morning
Jud Dean: Solid pal!! Hope the weekend is going awesome"
"Saturday, August 10th, 2024",Completed,Workout,"A Step Up + Side Bridge:
15min AMRAP
15R Step Up
30s R Side Bridge
15L Step Up
30s L Side Bridge
Results: Completed on Tuesday 8/13/24. I was sorry for 4 days after beach flags in my groin. Couldn’t really do anything when I was away.

","Todd Roselle: In garage at 7a
Jud Dean: Oh man glad just sore not injury"
"Saturday, August 10th, 2024",Completed,part 3,"A tabata work:
20 sec jump rope 10 sec rest
x 8 sets

tabata mash up
20 sec push ups
10 sec switch
20 sec air squat
10 sec switch 
move back to push ups
x 8 sets 

tabata running
20 sec run
10 sec walk
x 8 sets
Results: Completed on Monday morning.

",Jud Dean: Awesome start to the day
"Friday, August 9th, 2024",Completed,Rest day,,
"Thursday, August 8th, 2024",Completed,squat clean thruster test and 15 min work,"A 30 reps squat clean to thruster (cluster):
25lb dbs do 30 reps
rest 4 mins
35lb dbs do 20 reps
rest 2
45 lb dbs do 10 reps
Results: Completed on Tuesday 8/13/24. Was too sore at nationals to workout after beach flags. 

2:04 - 25lb dbs ub
1:19 - 35lb dbs ub
:40 - 50lb dbs ub

B 15 min amrap:
15 kb swings
10 db bench press incline
5 burpee
Results: 

","Todd Roselle: 7a in garage
Jud Dean: Getting back in the groove after gold"
"Wednesday, August 7th, 2024",Missed,Workout,"A swim:
3 min swim
2 min rest 
x 20mins
Results: 

B body wt work:
10 rds of 
5 burpee 
10 push ups
15 squats
Results: 

",No comments
"Tuesday, August 6th, 2024",Completed,Rest day,,
"Monday, August 5th, 2024",Completed,Workout,"A Dumbbell Fly:
5 sets of 15 reps
rest 45-60 seconds
Results: 20lbs

B 3 Way Dumbbell Bench Press:
4 sets of 8-10 reps
rest 90-120 seconds
Results: 8x55 for 2 sets
8x50 for 2 sets

C Incline Dumbbell Bench Press:
1-2 warm up sets to get the feel 
3 working sets of 6-8 reps
rest 90-120 seconds
Results: 55lb db for 8

D Standing Rope Tricep Extension:
5 sets of 25 reps
rest 60 seconds
Results: 25lb plate for 25 reps ea

E amrap push ups:
1 mins amrap as possible in the 2 mins
Results: 2 min Amrap 51 push ups

F bike burner:
bike 2 min max distance
3 min rest walking
x 4 sets try to go after it on set one and chase your best!
Results: Dist - rpm - cals
.86 - 69 - 34
.87 - 70 - 35
.87 - 70 - 36
.88 - 71 - 37

","Todd Roselle: Garage
Jud Dean: nice lifting day here and nice push on the bike buddy!! way to get after that!
safe travels to texas buddy! show them how its done!!!"
"Sunday, August 4th, 2024",Completed,Rest day,,
"Saturday, August 3rd, 2024",Completed,FOR TIME,"A FOR TIME:
20 BAR FACE BURPEE
9 HANG POWER CLEANS 135LBS
15 WALL BALLS
40 DOUBLE UNDERS
7 HANG POWER CLEANS 135LBS
20 WALL BALLS
40 DOUBLE UNDERS
5 HANG POWER CLEANS 135LBS
25 WALL BALLS 
20 BAR FACING BURPEE
Results: 7:48

Done in the afternoon

B Snatch work DO THIS IN THE AM OTHER IN PM IF POSSIBLE if not do this 1st rest a little then do part A:
5 sets of 1 snatch done on the min at 60%
rest 3 mins
5 sets of 1 snatch done on the min at 65%
rest 3 mins
5 sets of 1 snatch done on the min at 70&
rest 3 mins
if you have not missed any of the above lifts
add the following
1 rep at 75%
1 rep at 80%
1 rep at 82.5%
1 rep at 85%
1 rep at 87.5 %
rest as needed for these 5 singles if you miss along the way up repeat the miss do not go up you only get 5 total attempts
Results: Was weary w shoulder, kept this light.  Worked off a 185 max. 

115
120
130
Just did the 3 sets.

","Todd Roselle: Garage
Jud Dean: well done on A man love it nice and quick blaster looks great! good time!"
"Friday, August 2nd, 2024",Completed,Workout,"A TIMED RUNING!:
400 METER RUNS
INCREASE EFFORT EACH SET TO YOUR GOAL 1 MILE PACE
3 SETS
REST 2 MINS BETWEEN SETS
Results: Lifeguarded this day. Didn’t do this. Need to recycle

B Run 1 MILE TIMED:
REST 8 MINS WALKING
Results: 

C 200 METER RUNS:
DONE AT 1 MILE GOAL TIME
REST 1 MIN BETWEEN SETS
X 3 SETS
Results: 

",Jud Dean: hope the beach was awesome pal a good one for when you are on a trip too since just running done need anything but a nice tral or track!
"Thursday, August 1st, 2024",Completed,Workout,"A1 Air Squat:
20 reps
Results: 

B1 Reverse Lunge:
20 reps 
10 per side
Results: 

","Todd Roselle: In NYC 30 min stairmaster
5 rounds of
15 Abduction
12 rear leg on bench rdl
20 med ball su
15 trx
8/8 8 for both leg press w 2 45s
Jud Dean: Travel man!!!"
"Wednesday, July 31st, 2024",Completed,Rest day,,
"Tuesday, July 30th, 2024",Completed,Workout,"A 25 MIN CAP:
5K ROW
REMAINING TIME AS MANY BURPEE AS POSSBILE
REST 10 MINS THEN
Results: Lower back was sore from workouts before today. Didn’t do this part. Thought it would be too much

B 15 Minutes of ""Cindy"":
5 pull ups
10 push ups
15 air squats

( IN 20LB VEST if want to spice it up!!!)

THEN REST 10 MINS
Results: 17+18, no vest.

C 10 min AMRAP:
5 cal air dyne bike
10 GHD SIT UPS
Results: 10+2

","Todd Roselle: Garage at 6:20a
Jud Dean: Nice cindy work pal!!! Yes if afraid low back will flare we can adjust to more bike vs row for something like the burpee aerobic work I did that one the other day it’s nasty on that rower to burpee
Todd Roselle: I didn’t even think to do the bike. Def want to give it a try at some point.
Jud Dean: Yeah buddy it’s a good one we will hit it up again"
"Monday, July 29th, 2024",Completed,STRENGHT FOCUS WITH scap back work,"A 4 SETS OF:
500 Row
30 double unders 
30 HIP EXT GHD
REST 2 MIN CHOICE MOBILITY
Results: 1:51.4 row - 3:28 for the round
1:52.8 - 3:18
1:52.9 - 3:14
1:52.8 - 3:33 (stumbled on dus

B REST 8 MINS:

Results: ✅

C 16 MIN EMOM:
ODD: BIKE 40 SEC
EVEN: 7 -10 arnold press
Results: 65/66 rpm on bike
40 for Arnold lress

D deadliftSUPERSET WITH 3 WAY DB ROW:
5 deadlifts 70%
REST 30 SECONDS
3 WAY DB ROW 45 AWAY NEUTRAL AND UNDERHAND 7 AT EACH POSTOIN video below 
REST 2 MINS 
X 7 SETS
Results: Did w new banded deadlift apparatus
55 on row

E ZERCHER LUNGES vid below:
5 SETS OF 10 STEP
REST 30 SECONDS
SUPERSET WITH
ON FLOOR REAR DELTS 15-20 PER SIDE 
REST 2 MINS WORKING MOBILITY of choice
Results: 95 for lunges
5 for rear delt

F Zercher Hold:
so you will hold the bar like this for your lunges
but step back when you lunge this is just a video to see how to hold it
Results: 

G 3 position DB row:

Results: 

","Todd Roselle: Garage 6a
Jud Dean: Awesome woek man good to see you rocking"
"Sunday, July 28th, 2024",Completed,Rest day,,
"Saturday, July 27th, 2024",Completed,10 sets of burpee run push,"A 10 sets of:
10 burpee
200 meter run
20 push ups
rest is walk back to the start (so walk 200) 
try to build the runs think sets 1 and 2 60% range
sets 3-6 70-80%
sets 7-10 90 to 100%
Results: Completed Sunday at 10a

1:56
1:53
1:53
1:51
1:44
1:46
1:47
1:49
2:00
1:57

Tough

","Todd Roselle: Done at home on sunday
Jud Dean: There is that engine and heart work nothing beats a burpee for heart health!!"
"Friday, July 26th, 2024",Completed,master qualifiter event 3 2015 compare to top dogs,"A 2 rds of:
1000 row
50 thrusrtesr 
30 ctb pull ups
Results: 15:53 (no ctb but I did 60 pull ups!  First time in about a year!!)

Row was about 1:58 for the first 2:01 for the second

Thrusters were ub/ 30/20
Pull ups - 8/7/8/7 and 5s

Lactic acid made an appearance

B Pendlay Row:
5 sets of 12 
rest 1 min
Results: 95

C in ghd db row:
5 sets of 20
rest 1 min
Results: 10lb. So hard

D DB Pullover and t2b:
15 pull overs
amrap t2b If shoulder is not feeling it do 30 sit ups 
rest 2 min
x 3
Results: Pull overs w 40
Sit uos

E Dumbbell Pullover:

Results: 

","Todd Roselle: Garage 7:00a
Jud Dean: Way to go!!! Awesome!! Very excited buddy"
"Thursday, July 25th, 2024",Completed,Workout,"A Bike day!:
20,000 meter bike concept 2 day 

5 min damper 1 try to get rpm 90-105 range 
5 min damper 5 try to get rpm 70-80 range 
10 min damer 10 no rpm goal but done 30 sec standing 30 sec seated 
follow this pattern until you hit 20K meters for the workout
Results: Not completed (was in wilm)

Did 30 min on exercise bike

B Side plank agitation:
5 sets of 
30 reps per side
rest as needed on these
Results: ✅

C Side Plank Crunch:
3 sets of 15 reps per side 
rest as needed on these
Results: ✅

","Todd Roselle: Edge fitness 6:30a
Jud Dean: That is a good one for when you get back south!"
"Wednesday, July 24th, 2024",Completed,Rest day,,
"Tuesday, July 23rd, 2024",Completed,Workout,"A 750 meter row:
rest 3 mins
x 6 sets
Results: Done Wednesday up north at edge 

Slow then pushed. 

1:57.6
1:57.3
1:56.5
1:53.4
1:53.2
1:52.8

B bb complex:
4 deadlifts
3 bent over rows
2 hang pwr clean
1 s2oh 
rest 1 min
10 sets build up the wt over the sets
Results: 95
95
115
135
145x5

C Prone Incline Reverse Superman:
4 sets of 12
Results: ✅

D band face pull 100 reps:

Results: ✅

","Todd Roselle: 4:45p workout.
Jud Dean: Solid day pal getting those rows down nice and I love bb complex work solid job pal! B"
